11,"ANNOUNCEMENT: The Zhengzhou International Protected Geographical Indication Products Exhibition and International Import Food and Agricultural Products Exhibition 2025 under the theme “New Consumption, Share Global Food” to be held from 26-28 September 2025 in Zhengzhou city, Henan province, P.R. of China",សេចក្តីជូនដំណឹងស្ដីពី៖ ការរៀបចំ ពិព័រណ៍ផលិតផលការពារម៉ាកសម្គាល់ភូមិសាស្ត្រទំនិញ និងផលិតផល ម្ហូបអាហារនិងកសិកម្មនាំចូលអន្តរជាតិ ជឹងចូវ ឆ្នាំ២០២៥ ក្រោមមូលបទ “តម្រូវការប្រើប្រាស់ថ្មី ម្ហូបអាហារសកលតែមួយ” ដែលនឹងប្រព្រឹត្តទៅចាប់ពីថ្ងៃទី២៦-២៨ ខែកញ្ញា ឆ្នាំ២០២៥ នៅទីក្រុងជឹងចូវ ខេត្តហឺណាន សាធារណរដ្ឋ ប្រជាមានិតចិន,
12,"(Tokyo, Japan): On the afternoon of Tuesday, December 24, 2024, Mr. SIN Saray, Commercial Attaché to the Cambodian Embassy in Japan, accompanied His Excellency TUY Ry, Ambassador of Cambodia to Japan, in receiving a courtesy call from representatives of the ASEAN-Japan Centre, to discussed preparations for the Cambodia Foods Show, scheduled to be held at the Royal Embassy of Cambodia on February 21, 2025. The event aims to promote Khmer cuisine and potential Cambodian products, as well as to advance Cambodian culinary diplomacy and the import and export activities of Cambodian goods under the economic diplomacy strategy.","(តូក្យូ, ជប៉ុន)៖ នារសៀលថ្ងៃអង្គារ ទី២៤ ខែធ្នូ ឆ្នាំ២០២៤ លោក ស៊ីន សារ៉ាយ អនុព័ន្ធពាណិជ្ជកម្មអមស្ថានទូតកម្ពុជាប្រចាំប្រទេសជប៉ុន បានចូលរួមអម ឯកឧត្តម ទុយ រី ឯកអគ្គរាជទូតកម្ពុជាប្រចាំប្រទេសជប៉ុន ដើម្បីជួបពិភាក្សាការងារជាមួយតំណាងមជ្ឈមណ្ឌលអាស៊ាន-ជប៉ុន (ASEAN-Japan Centre) អំពីការត្រៀមលក្ខណៈក្នុងការរៀបចំតាំងបង្ហាញម្ហូបអាហារខ្មែរ (Cambodia Foods Show) ដែលគ្រោងនឹងធ្វើឡើងនៅស្ថានទូតកម្ពុជា ប្រចាំប្រទេសជប៉ុន នៅថ្ងៃទី២១ ខែកុម្ភៈ ឆ្នាំ២០២៥ ខាងមុខនេះ ក្នុងគោលបំណងផ្សព្វផ្សាយអំពីម្ហូបអាហារខ្មែរ និងផលិតផលសក្តានុពលខ្មែរ ព្រមទាំងជំរុញការទូតម្ហូបអាហារខ្មែរ និងសកម្មភាពនាំចេញនាំចូលផលិតផលខ្មែរ ក្រោមយុទ្ធសាស្រ្តការទូតសេដ្ឋកិច្ច។",
13,"This showcase will feature cooking demonstrations by Cambodian chefs, cultural performances, displays of Cambodian products, and presentations on Cambodian cuisine and tourism potential. Notably, there will be a Food Tasting Networking session, which serves as an important platform for establishing business relationships between participating companies and Japanese travel agents. It will also provide an opportunity to encourage more Japanese investors and tourists to visit Cambodia.",កម្មវិធីតាំងបង្ហាញនេះ នឹងមានរៀបចំការសម្ដែងការចម្អិនម្ហូបអាហារដោយចុងភៅខ្មែរមកពីប្រទេសកម្ពុជា ការសម្ដែងសិល្បៈរបាំ ការតាំងបង្ហាញផលិតផលខ្មែរ ការធ្វើបទបង្ហាញអំពីម្ហូបអាហារ និងសក្តានុពលទេសចរណ៍កម្ពុជា ជាពិសេសកម្មវិធី Food Tasting & Networking ដែលជាវេទិកាដ៏សំខាន់មួយ ក្នុងការបង្កើតឱ្យមានទំនាក់ទំនងធុរកិច្ចរវាងបណ្តាក្រុមហ៊ុនអ្នកចូលរួម និងភ្នាក់ងារទេសចរណ៍ជប៉ុន ក៏ដូចជាឱកាសមួយក្នុងការជំរុញអ្នកវិនិយោគជប៉ុន និងទេសចរជប៉ុនទៅកាន់ប្រទេសកម្ពុជា ឱ្យកាន់តែកើនឡើងថែមទៀតផងដែរ។,
14,"(Phnom Penh): On the morning of Monday, 16 December 2024, at the PH Grand Hall Center, Borey Peng Huoth Boeung Snor, Her Excellency TEKRETH Kamrang, Secretary of State of the Ministry of Commerce, delivered the keynote address at the Spotlight on Cambodia's Export Sector Forum. This side event of the Cambodia Trade Expo brought together senior leaders from the Ministry of Commerce, representatives from key ministries and institutions—including the Ministry of Industry, Science, Technology and Innovation; Ministry of Agriculture, Forestry, and Fisheries; Ministry of Posts and Telecommunications; Ministry of Public Works and Transport; National Bank of Cambodia; General Department of Customs and Excise of Cambodia; and Sihanoukville Autonomous Port—alongside development partners, federations, associations, international companies, and local businesses.",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃចន្ទ ទី១៦ ខែធ្នូ ឆ្នាំ២០២៤ នៅសាលសន្និបាត ហ្រ្គេនហល បុរីប៉េងហួត បឹងស្នោ លោកជំទាវ តឹករ៉េត កំរង រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមថ្លែងសុន្ទកថាក្នុងវេទិកាស្តីពីវិស័យនាំចេញកម្ពុជា ដែលជាព្រឹត្តិការណ៍អមមួយនៃពិព័រណ៌ពាណិជ្ជកម្មកម្ពុជា ដោយមានការអញ្ជើញចូលរួមពីថ្នាក់ដឹកនាំក្រសួងពាណិជ្ជកម្ម និងក្រសួង-ស្ថាប័នពាក់ព័ន្ធ រួមមាន៖ ក្រសួងឧស្សាហកម្ម វិទ្យាសាស្ត្រ បច្ចេកវិទ្យា និងនាវានុវត្តន៍ ក្រសួងកសិកម្ម រុក្ខាប្រមាញ់ និងនេសាទ ក្រសួងប្រៃសណីយ៍និងទូរគមនាគមន៍ ក្រសួងសាធារណការ និងដឹកជញ្ជូន ធនាគារជាតិនៃកម្ពុជា អគ្គនាយកដ្ឋានគយនិងរដ្ឋាករកម្ពុជា និងកំពង់ផែស្វយ័តក្រុងព្រះសីហនុ ដៃគូអភិវឌ្ឍន៍ សហព័ន្ធ និងសមាគម ក្រុមហ៊ុនជាតិ-អន្តរជាតិ ជាច្រើនរូប។,
15,"The Spotlight on Cambodia's Export Sector Forum was organized by the Export Promotion Task Force to promote Cambodian products in international markets, explore emerging export opportunities, and strengthen Cambodia’s position in global trade. The forum provided a platform for participants to gain valuable insights into international trade trends, network with national and international partners, and foster collaborations to advance the export of Cambodian products. The discussions also focused on identifying new opportunities for processing agricultural products and enhancing value addition to boost export competitiveness.",វេទិកានេះ រៀបចំឡើងដោយក្រុមការងារជំរុញការនាំចេញ ក្នុងគោលបំណងលើកកម្ពស់ការនាំចេញផលិតផលកម្ពុជា ទៅកាន់ទីផ្សារអន្តរជាតិ ដោយផ្តោតសំខាន់លើចក្ខុវិស័យថ្មីៗនៃការនាំចេញ ការអភិវឌ្ឍន៍នៃវិស័យពាណិជ្ជកម្មអន្តរជាតិរបស់កម្ពុជា ក៏ដូចជាផ្តល់ឱកាសដល់អ្នកចូលរួមឱ្យទទួលបានចំណេះដឹង និងផ្សាភ្ជាប់ទំនាក់ទំនងជាមួយដៃគូជាតិ-អន្តរជាតិ ដើម្បីបង្កើតកិច្ចសហប្រតិបត្តិការ និងលើកស្ទួយផលិតផលកម្ពុជានៅលើទីផ្សារសកល ក៏ដូចជាស្វែងរកឱកាសថ្មីៗក្នុងការកែច្នៃផលិតផលកសិកម្ម និងបន្ថែមគុណតម្លៃសម្រាប់ការនាំចេញ។,
16,"(Phnom Penh): On the morning of Thursday, 12 December 2024 at the Ministry of Commerce, His Excellency VAR Rothsan, secretary of state of Ministry of Commerce, received a courtesy call from representatives of Cambodia Honey Association and Catalyste+ mainly responsible for promoting and strengthening all stakeholders in the honey value chain, including with beekeepers, wild bee harvesting communities, bee conservation organization and the forest ecology in the Cambodia.",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃព្រហស្បហតិ៍ ទី១២ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម វ៉ា រុតសាន រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានទទួលជួបសម្តែងការគួរសម និងពិភាក្សាការងារជាមួយសមាគមទឹកឃ្មុំកម្ពុជា និងអង្គការ Catalyste+ ដែលមានកាតព្វកិច្ចចម្បងក្នុងការជំរុញ និងពង្រឹងគ្រប់ភាគីពាក់ព័ន្ធក្នុងខ្សែច្រវាក់វិស័យផលិតផលទឹកឃ្មុំ រួមមានអ្នកចិញ្ចឹមឃ្មុំ សហគមប្រមូលផលឃ្មុំព្រៃ អង្គការអភិរក្សឃ្មុំ និងអភិរក្សប្រព័ន្ធអេកូឡូស៊ីព្រៃឈើនៅកម្ពុជា។,
17,"On that occasion, the representatives of the Cambodia Honey Association and Catalyste+ informed about the purpose of establishing the Honey Association as well as supporting the activities of Catalyste+ through bee experts as well as seeking support and cooperation for the development of beekeeping sector in Cambodia.",ក្នុងឱកាសនោះ ភាគីតំណាងសមាគមទឹកឃ្មុំកម្ពុជា និងអង្គការ Catalyste+ ជម្រាបជូនអំពីគោលបំណងនៃការបង្កើតសមាគមទឹកឃ្មុំ ព្រមជាមួយនឹងការគាំទ្រសកម្មភាពរបស់អង្គការ Catalyste+ តាមរយៈអ្នកជំនាញឃ្មុំ ក៏ដូចជាស្វែងរកការគាំទ្រ និងកិច្ចសហការ ដើម្បីការអភិវឌ្ឍន៍វិស័យឃ្មុំនៅកម្ពុជា។,
18,"As a result, His Excellency chair recommended to the Honey Association to develop a strategy on the Cambodia’s Bee Sector to serve as the roadmap to move toward Economic of scale and increase the Cambodia’s Honey reputation and increase people awareness of using honey in therapeutic functions and strengthen the immune system.",ជាលទ្ធផល ឯកឧត្តមគណៈអធិបតី បានផ្តល់អនុសាសន៍ជូនសមាគមទឹកឃ្មុំ ក្នុងការរៀបចំយុទ្ធសាស្រ្តលើវិស័យឃ្មុំនៅកម្ពុជា ដើម្បីដើរតួនាទីជាផែនទីចង្អុលទិសសម្រាប់វិស័យនេះបោះជំហានទៅរកការផលិតជាមាត្រាសាស្រ្ត និងលើកកម្ពស់ទំនុកចិត្តមកលើការកេរ្តិ៍ឈ្មោះរបស់ទឹកឃ្មុំកម្ពុជា និងបង្កើនការយល់ដឹងរបស់ប្រជាពលរដ្ឋអំពីផលប្រយោជន៍នៃការប្រើប្រាស់ទឹកឃ្មុំក្នុងមុខងារព្យាបាលជំងឺ និងជួយពង្រឹងប្រព័ន្ធភាពស៊ាំក្នុងរាងកាយ។,
19,"(Shenzhen, China): On Friday, 3 January 2025, responding to invitations from Heli-Eastern and Amber Aviation Limited, Mr. Lao Nguon Eng, Commercial Attaché at the Consulate General of Cambodia in Guangzhou, Guangdong Province, People’s Republic of China, visited the two companies to observe their operations. These companies plan to expand their businesses and strengthen cooperation in ASEAN, including Cambodia.","(ស៊ីនជិន, ចិន)៖ នាថ្ងៃសុក្រទី៣ ខែមករា ឆ្នាំ២០២៥ តបតាមការអញ្ជេីញរបស់ក្រុម Heli-Eastern និង Amber Aviation Limited របស់ទីក្រុងស៊ីនជិន លោក ឡៅ ងួន អេង អនុព័ន្ធពាណិជ្ជកម្មកម្ពុជាអមស្ថានអគ្គកុងស៊ុលកម្ពុជាប្រចាំទីក្រុងក្វាងចូវ នៃខេត្តក្វាងទុង សាធារណរដ្ឋប្រជាមានិតចិន បានចុះទស្សនកិច្ចក្នុងក្រុមហ៊ុនទាំងពីរខាងលេី ដេីម្បីសិក្សាស្វែងយល់អំពីប្រតិបត្តិការពាណិជ្ជកម្មរបស់ក្រុមហ៊ុនទាំងពីរខាងលើ។",
20,"Heli-Eastern produces and delivers various types of drones in China, including those used for urban transportation and agriculture. It also provides urban air services in the Greater Bay Area (Guangdong-Hong Kong-Macao Greater Bay Area).",សូមជម្រាបជូនថា ក្រុមហ៊ុន Heli-Eastern ជាក្រុមហ៊ុនផលិត ចែកចាយយន្តហោះ Drove ខ្នាតតូច សម្រាប់បម្រេីដល់វិស័យដឹកជញ្ជូនក្នុងទីក្រុង និងសម្រាប់បម្រេីការងារកសិកម្ម ព្រមទាំងធ្វេីអាជីវកម្មបម្រេីសេវាហោះហេីរយន្តហោះ Helicoper ក្នុងតំបន់ Great Bay Area(Guangdong-Hong Kong-Macao Great Bay Area)។ ,
21,"Amber Aviation Limited provides aviation services using its private jets to transport passengers within ASEAN and has been strengthening cooperation with ASEAN member states, including Cambodia.",ដោយឡែក ក្រុមហ៊ុន Amber Aviation Limited ជាក្រុមហ៊ុនបម្រេីសេវាហោះហេីរយន្តហោះ Private Jet សម្រាប់ការធ្វេីដំណេីរនៅក្នុងតំបន់អាស៊ាន។ ,
22,"Both companies expressed their intention to expand their businesses in Cambodia and strengthen close cooperation with the country.,តាមការបញ្ជាក់ ក្រុមហ៊ុនទាំងពីរខាងលើ បានបង្ហាញបំណងចង់មកធ្វេីពាណិជ្ជកម្មនៅកម្ពុជានាពេលខាងមុខ និងពង្រឹងកិច្ចសហការឱ្យកាន់តែជិតស្និទ្ធជាមួយកម្ពុជាលេីសេវាហោះហេីរឯកជន ផងដែរ។
5,His Excellency KEM Sithan", Permanent Secretary of State of the Ministry of Commerce," chaired a weekly meeting of the Ministry of Commerce."""
23,"(Phnom Penh): On the morning of Thursday, January 2025, at the Ministry of Commerce, His Excellency KEM Sithan, Permanent Secretary of State of the Ministry of Commerce and High Representative of Her Excellency CHAM Nimul, Minister of Commerce, chaired the weekly meeting attended by the Ministry's leaders, including the Secretary of State, Under Secretary of State, Director General, Directors of Departments, Directors of Provincial Departments, and other officials.",(ភ្នំពេញ)៖ នាព្រឹកថ្ងៃព្រហស្បតិ៍ ទី២ ខែមករា ឆ្នាំ២០២៥ នៅទីស្ដីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម កឹម ស៊ីថន រដ្ឋលេខាធិការប្រចាំការក្រសួងពាណិជ្ជកម្ម តំណាងដ៏ខ្ពង់ខ្ពស់របស់ លោកជំទាវ ចម និម្មល រដ្ឋមន្ត្រីក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញដឹកនាំកិច្ចប្រជុំប្រចាំខែរបស់ក្រសួងពាណិជ្ជកម្ម ដែលមានវត្តមានចូលរួមពី ឯកឧត្តម លោកជំទាវរដ្ឋលេខាធិការ ឯកឧត្តម លោកជំទាវអនុរដ្ឋលេខាធិការ ឯកឧត្តមអគ្គនាយក លោកជំទាវអគ្គាធិការ លោក-លោកស្រីអគ្គនាយករង លោក-លោកស្រីអគ្គាធិការរង លោកប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន លោក-លោកស្រីអនុប្រធាននាយកដ្ឋាន-វិទ្យាស្ថាន លោក-លោកស្រីប្រធាន និងអនុប្រធានមន្ទីរ និងសាខា ក.ប.ប. រាជធានី-ខេត្តទាំងអស់ចំណុះឱ្យក្រសួងពាណិជ្ជកម្មផងដែរ។,
24,"The weekly meeting was held at the Ministry of Commerce and via video conference, covering the following agenda: Brief report on the work direction for implementation in 2025 of the units under the Ministry of Commerce, such as the General Directorate, General Inspectorate, and Green Trade Company as well as discussing Other matters.",កិច្ចប្រជុំប្រចាំសប្ដាហ៍នេះ បានប្រព្រឹត្តទៅក្រោមរបៀបវារៈរួមមាន៖ របាយការណ៍ស្តីពីការកំណត់ទិសដៅការងារសម្រាប់អនុវត្តបន្តក្នុងឆ្នាំ២០២៥ របស់អង្គភាពក្រោមឱវាទក្រសួងពាណិជ្ជកម្ម ដូចជា៖ អគ្គនាយកដ្ឋាន អគ្គាធិការដ្ឋាន និងក្រុមហ៊ុនហ្គ្រីនត្រេដ ព្រមទាំងការពិភាក្សាអំពីបញ្ហាផ្សេងៗ ផងដែរ។,
25,"His Excellency OK Boung, Secretary of State of the Ministry of Commerce, presided over the ceremony awarding certificates of completion for the Rules of Origin and Export Procedures training (Batch 2).",(ភ្នំពេញ)៖ ព្រឹកថ្ងៃសុក្រ ទី២៧ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម ឱក ប៊ុង រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីក្នុងពិធីប្រគល់វិញ្ញាបនបត្របញ្ជាក់ការសិក្សាវគ្គបណ្តុះបណ្តាលស្តីពីវិធានដើមកំណើតទំនិញ និងនីតិវិធីនៃការនាំចេញ (លើកទី២) ជូនសិក្ខាកាមដែលបានប្រលងជាប់ជាស្ថាពរសរុបចំនួន ៣៩រូប (ស្រី ១៦រូប)។,
26,"(Phnom Penh): On the morning of Monday, 27 December 2024, at the Ministry of Commerce, His Excellency OK Boung, Secretary of State of the Ministry of Commerce, presided over the ceremony awarding certificates of completion for the Rules of Origin and Export Procedures training (Batch 2) to 39 participants (16 female).",(ភ្នំពេញ)៖ ព្រឹកថ្ងៃសុក្រ ទី២៧ ខែធ្នូ ឆ្នាំ២០២៤ នៅទីស្តីការក្រសួងពាណិជ្ជកម្ម ឯកឧត្តម ឱក ប៊ុង រដ្ឋលេខាធិការក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញជាអធិបតីក្នុងពិធីប្រគល់វិញ្ញាបនបត្របញ្ជាក់ការសិក្សាវគ្គបណ្តុះបណ្តាលស្តីពីវិធានដើមកំណើតទំនិញ និងនីតិវិធីនៃការនាំចេញ (លើកទី២) ជូនសិក្ខាកាមដែលបានប្រលងជាប់ជាស្ថាពរសរុបចំនួន ៣៩រូប (ស្រី ១៦រូប)។ ,
27,"On that occasion, His Excellency Secretary of State stated that this training course aimed to increase knowledge of rules of origin to qualify for preferential tariffs under various free trade agreements and instructions for applying for a certificate of origin through the Ministry of Commerce's automated system.",ក្នុងឱកាសនោះ ឯកឧត្តមរដ្ឋលេខាធិការ បានថ្លែងអំពីគោលបំណងនៃវគ្គបណ្តុះបណ្តាលនេះ ក្នុងការបង្កើនចំណេះដឹងផ្នែកវិធានដើមកំណើតទំនិញដើម្បីទទួលបានភាពអនុគ្រោះក្រោមកិច្ចព្រមព្រៀងសេរីនានា ព្រមទាំងនីតិវិធីក្នុងការស្នើសុំ និងអនុញ្ញាតនូវវិញ្ញាបនបត្របញ្ជាក់ដើមកំណើតទំនិញតាមប្រព័ន្ធស្វ័យប្រវត្តិកម្ម ជូនមន្រ្តីក្រសួងពាណិជ្ជកម្មដែលមានឱកាសក្នុងការបំពេញការងារជាតំណាងពាណិជ្ជកម្មប្រចាំតំបន់សេដ្ឋកិច្ចពិសេសនាថ្ងៃអនាគត។ ,
28,"His Excellency the Secretary of State stated that the training course ran from 25 November 2024 to 9 December 2024, with a curriculum that included both theoretical and practical studies. The theoretical study included lessons on rules of origin, export procedures, and instructions on requesting and authorizing certificates of origin through an automated application. The practical study required all participants to complete a one-week internship.",ឯកឧត្តមរដ្ឋលេខាធិការ បញ្ជាក់ថា វគ្គបណ្តុះបណ្តាលនេះបានចាប់ផ្តើមកាលពីថ្ងៃទី២៥ ខែវិច្ឆិកា ឆ្នាំ២០២៤ ដល់ថ្ងៃទី៩ ខែធ្នូ ឆ្នាំ ២០២៤ ដែលមានកម្មវិធីសិក្សាធ្វើឡើងទាំងទ្រឹស្តី និងការអនុវត្តជាក់ស្តែង ដោយការសិក្សាទ្រីស្តីមានមេរៀនវិធានដើមកំណើតទំនិញ នីតិវិធីនៃការនាំចេញ ការណែនាំពីការស្នើសុំនិងអនុញ្ញាតវិញ្ញបនបត្របញ្ជាក់ដើមកំណើតទំនិញតាមប្រព័ន្ធស្វ័យប្រវត្តិកម្ម ដោយឡែកការចុះអនុវត្តជាក់ស្តែងតម្រូវឱ្យសិក្ខាកាមទាំងអស់ការចុះកម្មសិក្សាដោយផ្ទាល់រយៈពេល ១សប្តាហ៍ផងដែរ៕,
29,Cambodia-Vietnam Trade and Investment Promotion Forum on Enhancing Cross-Border Trade Cooperation and Digital Economy,,
30,"(Phnom Penh): On the afternoon of Wednesday, 25 December 2024 at Phnom Penh Hotel, His Excellency HO Sivyong, Delegate of the Royal Government in charge as Director General of Trade Support Services of the Ministry of Commerce, was invited to do a presentation on bilateral trade preferences between Vietnam and Cambodia at the Vietnam-Cambodia Trade and Investment Promotion Forum on Enhancing Cross-Border E-Commerce Cooperation and Digital Economy, organized under the collaboration of the Ministry of Industry and Trade of Vietnam, Vietnam Trade Office in Cambodia and the Vietnam-Cambodia Business Association.",(ភ្នំពេញ)៖ នារសៀលថ្ងៃពុធ ទី២៥ ខែធ្នូ ឆ្នាំ២០២៤ នៅសណ្ឋាគារភ្នំពេញ ឯកឧត្តម ហូ ស៊ីវយ៉ុង ប្រតិភូរាជរដ្ឋាភិបាលទទួលបន្ទុកជាអគ្គនាយកសេវាពាណិជ្ជកម្ម នៃក្រសួងពាណិជ្ជកម្ម បានអញ្ជើញចូលរួមធ្វើបទបង្ហាញស្ដីពីការអនុគ្រោះពាណិជ្ជកម្មទ្វេភាគីរវាងរៀតណាម និងកម្ពុជា នៅវេទិកាជំរុញពាណិជ្ជកម្ម និងវិនិយោគវៀតណាម-កម្ពុជា បង្កើនកិច្ចសហប្រតិបត្តិការពាណិជ្ជកម្មអេឡិចត្រូនិចឆ្លងដែន និងសេដ្ឋកិច្ចឌីជីថល ដែលបានរៀបចំឡើង ក្រោមកិច្ចសហការរវាងក្រសួងឧស្សាហកម្ម និងពាណិជ្ជកម្មវៀតណាម ការិយាល័យពាណិជ្ជកម្មវៀតណាមប្រចាំកម្ពុជា និងសមាគមសហព័ន្ធធុរកិច្ចវៀតណាម-កម្ពុជា។ ,
31,"The forum was organized with the aim of facilitating Cambodian and Vietnamese investors and businessmen to establish contacts and networks, as well as to discuss, explore and exchange important information related to the potential and opportunities of business and investment in Cambodia, especially related to cross-border trade cooperation and the digital economy.",វេទិកានេះត្រូវបានរៀបចំឡើងក្នុងគោលបំណងបង្កលក្ខណៈងាយស្រួលសម្រាប់វិនិយោគិន និងធុរជនកម្ពុជា និងវៀតណាមក្នុងការបង្កើតទំនាក់ទំនង និងបណ្តាញ ព្រមទាំងពិភាក្សាស្វែងយល់ និងផ្លាស់ប្តូរនូវព័ត៌មានសំខាន់ៗពាក់ព័ន្ធនឹងសក្តានុពល និងកាលានុវត្តភាពធុរកិច្ច និងវិនិយោគនៅប្រទេសកម្ពុជា ពិសេសពាក់ព័ន្ធកិច្ចសហប្រតិបត្តិការពាណិជ្ជកម្មឆ្លងដែន និងសេដ្ឋកិច្ចឌីជីថល។ ,
32,"Through the above presentation, His Excellency highlighted the potential and opportunities of doing businesses in Cambodia as well as the trade cooperation between Cambodia and Vietnam in the ASEAN framework and especially in the bilateral framework between the two countries.",តាមរយៈបទបង្ហាញខាងលើ ឯកឧត្តមប្រតិភូបានបញ្ជាក់អំពីសក្តានុពល និងកាលានុវត្តភាពធុរកិច្ចនៃប្រទេសកម្ពុជា ព្រមទាំងកិច្ចសហប្រតិបត្តិការផ្នែកពាណិជ្ជកម្មរវាងប្រទេសកម្ពុជា និងប្រទេសវៀតណាម ក្នុងក្របខណ្ឌអាស៊ាន និងជាពិសេសក្នុងក្របខណ្ឌទ្វេភាគីរវាងប្រទេសទាំងពីរផងដែរ។,
